,0,1
0,PC0,economico_UE_sin_ventas_435
1,PC1,Censo_Bachelor's Degree
2,PC2,economico_UE_sin_ventas_311
3,PC3,economico_UE_con_ventas_519
4,PC4,economico_UE_sin_ventas_533
5,PC5,economico_UE_con_ventas_221
6,PC6,economico_UE_sin_ventas_212
7,PC7,"ENOE_Promotores de Espectáculos Artísticos, Culturales, Deportivos y Similares"
8,PC8,economico_UE_con_ventas_316
9,PC9,"ENOE_Promotores de Espectáculos Artísticos, Culturales, Deportivos y Similares"
10,PC10,economico_UE_con_ventas_115
11,PC11,"ENOE_Promotores de Espectáculos Artísticos, Culturales, Deportivos y Similares"
12,PC12,ANUIES_Business Administration
13,PC13,"ENOE_Fabricación de Accesorios, Aparatos Eléctricos y Equipo de Generación de Energía Eléctrica"
14,PC14,economico_UE_con_ventas_485
15,PC15,disponen_drenaje_no_esp
16,PC16,"ENOE_Casinos, Loterías y otros Juegos de Azar"
17,PC17,"ENOE_Casinos, Loterías y otros Juegos de Azar"
18,PC18,ENOE_Minería de Carbón Mineral
19,PC19,economico_UE_sin_ventas_211
20,PC20,ENOE_Minería de Carbón Mineral
21,PC21,ENOE_Minería de Carbón Mineral
22,PC22,ENOE_Servicios de Orientación y Trabajo Social
23,PC23,ENOE_Minería de Carbón Mineral
24,PC24,"ENOE_Comercio al por Menor de Partes y Refacciones para Automóviles, Camionetas y Camiones"
25,PC25,"ENOE_Curtido y Acabado de Cuero y Piel, y Fabricación de Productos de Cuero, Piel y Materiales Sucedáneos"
26,PC26,ENOE_Pesca
27,PC27,"ENOE_Servicios de Investigación, Protección y Seguridad"
28,PC28,ENOE_Órganos Legislativos
29,PC29,ENOE_Minería de Minerales Metálicos
30,PC30,ENOE_Suministro de Gas por Ductos al Consumidor Final
31,PC31,ENOE_Fabricación de Productos Derivados del Petróleo y del Carbón
32,PC32,"ENOE_Residencias con Cuidados de Enfermeras para Enfermos Convalecientes, en Rehabilitación, Incurables y Terminales"
33,PC33,ENOE_Agencias de Viajes y Servicios de Reservaciones
34,PC34,economico_UE_sin_ventas_339
35,PC35,"ENOE_Residencias con Cuidados de Enfermeras para Enfermos Convalecientes, en Rehabilitación, Incurables y Terminales"
36,PC36,ENOE_Fabricación de Productos Derivados del Petróleo y del Carbón
37,PC37,"ENOE_Residencias para el Cuidado de Personas con Problemas de Retardo Mental, Trastorno Mental y Adicciones"
38,PC38,"ENOE_Artistas, Escritores y Técnicos Independientes"
39,PC39,ENOE_Órganos Legislativos
40,PC40,ENOE_Pesca
41,PC41,"ENOE_Artistas, Escritores y Técnicos Independientes"
42,PC42,ENOE_Explotación de Bovinos
43,PC43,ENOE_Explotación de Bovinos
44,PC44,"ENOE_Artistas, Escritores y Técnicos Independientes"
45,PC45,"ANUIES_natural sciences, mathematics and statistics"
46,PC46,ENOE_Comercio al por Menor de Artículos para el Esparcimiento
47,PC47,ENOE_Servicios Relacionados con el Transporte Aéreo
48,PC48,ENOE_Explotación de Bovinos
49,PC49,"ANUIES_natural sciences, mathematics and statistics"
50,PC50,ENOE_Explotación de Bovinos
51,PC51,"ENOE_Residencias con Cuidados de Enfermeras para Enfermos Convalecientes, en Rehabilitación, Incurables y Terminales"
52,PC52,ENOE_Explotación de Porcinos
53,PC53,ENOE_Explotación de Porcinos
54,PC54,ENOE_Estacionamientos y Pensiones para Vehículos Automotores
55,PC55,ENOE_Industria de la Madera
56,PC56,"ENOE_Fabricación de Productos Textiles, Excepto Prendas de Vestir"
57,PC57,ENOE_Minería de Minerales no Metálicos
58,PC58,ANUIES_Agriculture and Veterinary
59,PC59,"ENOE_Fabricación de Productos Textiles, Excepto Prendas de Vestir"
60,PC60,ENOE_Industria de la Madera
61,PC61,ENOE_Servicios Funerarios y Administración de Cementerios
62,PC62,"ENOE_Fabricación de Productos Textiles, Excepto Prendas de Vestir"
63,PC63,ENOE_Servicios Combinados de Apoyo en Instalaciones
64,PC64,"IMSS_Agricultura, ganadería, silvicultura, pesca y caza"
65,PC65,"ENOE_Captación, Tratamiento y Suministro de Agua"
66,PC66,"ENOE_Agentes y Representantes de Artistas, Deportistas y Similares"
67,PC67,ENOE_Fabricación de Prendas de Vestir
68,PC68,ENOE_Industria Alimentaria
69,PC69,"ENOE_Comercio al por Menor de Ropa, Bisutería y Accesorios de Vestir"
70,PC70,ANUIES_Education
71,PC71,ENOE_Alquiler de Artículos para el Hogar y Personales
72,PC72,"ENOE_Comercio al por Menor de Ropa, Bisutería y Accesorios de Vestir"
73,PC73,Censo_No Specified
74,PC74,Censo_No Specified
75,PC75,Censo_No Specified
76,PC76,"ANUIES_Engineering, manufacturing and construction"
