,0,1,2,3,accu
3,AdaDelta,tanh,10,[0.4949290076569176],0.4949290076569176
2,AdaDelta,linear,35,[0.4929006112395629],0.4929006112395629
0,AdaDelta,linear,10,[0.49087221022793537],0.49087221022793537
11,RMSProp,tanh,35,[0.4847870152330302],0.4847870152330302
15,AdaGrad,tanh,10,[0.47870182942667067],0.47870182942667067
1,AdaDelta,linear,5,[0.47870182368382963],0.47870182368382963
9,RMSProp,tanh,10,[0.47667343186074773],0.47667343186074773
6,RMSProp,linear,10,[0.4746450331462566],0.4746450331462566
8,RMSProp,linear,35,[0.4746450331462566],0.4746450331462566
19,ProximalAdaGrad,linear,5,[0.45436105404132276],0.45436105404132276
7,RMSProp,linear,5,[0.45436105404132276],0.45436105404132276
22,ProximalAdaGrad,tanh,5,[0.3002028369758482],0.3002028369758482
17,AdaGrad,tanh,35,[0.3002028369758482],0.3002028369758482
16,AdaGrad,tanh,5,[0.3002028369758482],0.3002028369758482
12,AdaGrad,linear,10,[0.3002028369758482],0.3002028369758482
13,AdaGrad,linear,5,[0.3002028369758482],0.3002028369758482
10,RMSProp,tanh,5,[0.3002028369758482],0.3002028369758482
4,AdaDelta,tanh,5,[0.3002028369758482],0.3002028369758482
23,ProximalAdaGrad,tanh,35,[0.3002028369758482],0.3002028369758482
21,ProximalAdaGrad,tanh,10,[0.2920892521527428],0.2920892521527428
18,ProximalAdaGrad,linear,10,[0.2778904680427141],0.2778904680427141
20,ProximalAdaGrad,linear,35,[0.27383367176230006],0.27383367176230006
5,AdaDelta,tanh,35,[0.2657200837957448],0.2657200837957448
14,AdaGrad,linear,35,[0.259634886805958],0.259634886805958
